,country,lag,vector,param,t,p
0,Azerbaijan,1,iOS -> OSX,-0.012016140112262168,-0.15012959961905667,0.0
0,Belgium,1,iOS -> OSX,-0.07294929410887868,-0.9243206814160858,0.0
0,Indonesia,1,OSX -> iOS,0.16066375001961686,3.0850966368094017,0.00221125917545336
0,Kuwait,1,OSX -> iOS,-0.33573045201607865,-2.303123772138121,0.021908829265995876
0,Lithuania,1,iOS -> OSX,-0.24434857824404116,-3.351201534447566,0.0
0,Malaysia,1,OSX -> iOS,0.43423568622846864,3.224599182915162,0.0013908823812191465
0,Portugal,1,iOS -> OSX,-0.06089917567515403,-0.7654881768178253,0.0
0,Qatar,1,OSX -> iOS,0.2841189871754651,2.3530432784196504,0.019221588588537716
0,Saudi Arabia,1,OSX -> iOS,-0.6887065420948201,-2.962200512553587,0.0032817586745433557
0,Trinidad and Tobago,1,iOS -> OSX,0.025831453701465938,0.3665126690577359,0.0
0,Brunei Darussalam,2,OSX -> iOS,0.21123754252395266,2.067248785347235,0.027897001841941268
0,Montenegro,2,OSX -> iOS,0.5955886826294761,2.02831677231536,0.03835983637650062
0,Luxembourg,4,iOS -> OSX,-0.019401821015820886,-0.2111540554706955,0.0
0,Swaziland,4,OSX -> iOS,0.10882633570255305,1.5005252284063888,0.0001959666590210672
0,Tuvalu,4,iOS -> OSX,-0.10043832068874287,-1.200073377116575,0.0
0,Bhutan,5,OSX -> iOS,0.023871613566803312,0.43724954910561936,0.04193373735124151
0,Bermuda,7,iOS -> OSX,0.15931627598488393,2.214000929552722,0.0
0,Bermuda,7,OSX -> iOS,0.2919407405979867,2.246292580398416,0.017794820242159427
0,Iraq,7,iOS -> OSX,-0.13247863751557515,-1.6396004484595479,0.0
0,Iraq,7,OSX -> iOS,-0.43103791361676475,-1.4965461867372696,2.214674894342318e-05
0,Kenya,7,iOS -> OSX,-0.08300347422595822,-1.0058606972172333,0.0
0,Kenya,7,OSX -> iOS,-0.17775921263245964,-4.576136906828143,0.00010999712594404489
0,Turkmenistan,7,OSX -> iOS,1.030959822810204,3.289631186718669,7.311115206100385e-13
0,Ghana,11,iOS -> OSX,0.020544280442639132,0.23949083905786278,0.0
0,Sweden,12,iOS -> OSX,0.07893145485327271,0.9909994179451643,0.0
0,Sweden,12,OSX -> iOS,0.4112257712310263,2.078533790921681,0.00436953934197321
0,Tonga,12,OSX -> iOS,-0.011647389263947837,-0.04370982083129131,0.009217580098880698
0,France,13,iOS -> OSX,0.07343838812283264,0.809042967101531,0.0
0,Iceland,13,OSX -> iOS,0.6121538071718954,3.5322623076292317,0.0010904942168141682
0,India,14,OSX -> iOS,-0.06840990002242006,-1.5821869385667977,7.91570203771749e-07
0,Korea Democratic People's Republic of,14,iOS -> OSX,-0.039950043941079316,-0.5274470997393722,0.0
0,Netherlands,15,OSX -> iOS,-0.9759368103641013,-3.5185378472304394,0.0019053830677094243
0,Uganda,15,OSX -> iOS,0.21053053762283921,3.4187752539161833,0.004810498911743698
0,Northern Mariana Islands,16,OSX -> iOS,0.09295734435699969,0.9099231197806248,0.0005064051586283698
0,Hungary,19,iOS -> OSX,0.0031329636557103913,0.0373043255224915,0.0
0,Singapore,20,iOS -> OSX,0.1430502105564735,1.4372337856412685,0.0
0,Norway,24,OSX -> iOS,0.130930359828059,0.7491795641733244,0.0004497603741462022
0,Denmark,25,iOS -> OSX,0.03303856510433499,0.3910317599114424,0.0
0,Denmark,25,OSX -> iOS,0.28266726668615993,1.442722782042142,0.0061768245728063415
0,Egypt,27,iOS -> OSX,0.23405509998657464,1.4633238265704867,0.0
0,Egypt,27,OSX -> iOS,-0.286542253811487,-0.7162424040454942,0.0017610499357477636
0,Nigeria,27,iOS -> OSX,0.24898442464647796,1.9014966222755254,0.0
0,Nigeria,27,OSX -> iOS,0.03414665444205553,0.42810447058837664,0.003992303876514337
0,Zimbabwe,27,iOS -> OSX,0.11611768164274655,1.5028897875324425,0.0
0,Zimbabwe,27,OSX -> iOS,0.19215492165280817,1.7248701905549448,0.0006447275890906375
