                      OLS Regression Results                     
Dep. Variable:   ,OSX             ,  R-squared:         ,   0.491
Model:           ,OLS             ,  Adj. R-squared:    ,   0.484
Method:          ,Least Squares   ,  F-statistic:       ,   65.66
Date:            ,Wed, 21 Dec 2022,  Prob (F-statistic):,9.32e-30
Time:            ,01:27:53        ,  Log-Likelihood:    , -675.56
No. Observations:,   208          ,  AIC:               ,   1359.
Df Residuals:    ,   204          ,  BIC:               ,   1372.
Df Model:        ,     3          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
             ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Intercept    ,  -19.0068,    2.842,   -6.689, 0.000,  -24.610,  -13.404
island       ,    2.7366,    0.975,    2.808, 0.005,    0.815,    4.658
percapita_log,    8.5369,    0.768,   11.116, 0.000,    7.023,   10.051
store        ,    1.8038,    1.472,    1.226, 0.222,   -1.098,    4.705
Omnibus:      , 1.254,  Durbin-Watson:     ,   1.997
Prob(Omnibus):, 0.534,  Jarque-Bera (JB):  ,   1.350
Skew:         , 0.152,  Prob(JB):          ,   0.509
Kurtosis:     , 2.748,  Cond. No.          ,    27.7

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
