,count,mean,std,min,25%,50%,75%,max
iOS,208.0,19.786454326855768,14.765471607769781,2.266666667,8.33208333325,14.957083335,26.336666665,64.35833333
OSX,208.0,14.846217948860575,8.751797930571216,1.435,7.89499999975,12.578333335,21.0645833325,36.85416667
Android,208.0,78.82514423076924,14.14688021654885,34.8625,73.3306249975,83.934583335,88.863125,97.625
Windows,208.0,78.31535657028847,8.590619390873396,55.06,71.7822916675,78.5075,85.25666667,95.62166667
island,208.0,0.32211538461538464,0.468414270332426,0.0,0.0,0.0,1.0,1.0
store,208.0,0.1201923076923077,0.3259708080028197,0.0,0.0,0.0,0.0,1.0
percapita_log,208.0,3.836823624783654,0.6413734420202009,2.0750316,3.3620861900000003,3.841424439,4.36097562675,5.255822581
share_square,208.0,77.27403846153847,25.43376163596402,2.0,72.5,87.0,91.0,103.0
LangCount,208.0,1.6394230769230769,1.7936505440713617,1.0,1.0,1.0,2.0,23.0
EthnicCount,208.0,2.6923076923076925,2.1016530097680524,1.0,1.0,2.0,4.0,23.0
ReliCount,208.0,2.514423076923077,1.3795552226756793,1.0,1.0,2.0,3.0,7.0
iOS_island,67.0,25.281032338417912,16.290418934738796,2.266666667,12.06625,22.3725,34.041250000000005,63.53666667
iOS_not_island,141.0,17.175555555404255,13.264105508624679,2.76,7.416666667,13.525,21.0325,64.35833333
OSX_island,67.0,18.51274875643284,8.84412895077377,2.015833333,11.15291667,18.725,26.452916665,36.53083333
OSX_not_island,141.0,13.103965721148937,8.178287452647165,1.435,7.338333333,10.72416667,17.78166667,36.85416667
Android_island,67.0,74.07595771149253,16.08050245363521,35.57,65.43833333,77.4,86.776666665,97.625
Android_not_island,141.0,81.08184988177305,12.573240083340627,34.8625,77.12166667,84.91083333,89.46916667,96.21
Windows_island,67.0,74.02084577074626,8.088785555486238,55.06,68.29249999999999,74.12166667,79.921666665,93.19916667
Windows_not_island,141.0,80.35601063815604,8.077849167449672,61.19083333,74.92,81.04583333,86.9125,95.62166667
island_island,67.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
island_not_island,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
store_island,67.0,0.08955223880597014,0.2876942444512339,0.0,0.0,0.0,0.0,1.0
store_not_island,141.0,0.1347517730496454,0.34267556826555284,0.0,0.0,0.0,0.0,1.0
percapita_log_island,67.0,4.055483119253732,0.553030848332983,2.672805375,3.6230960779999997,4.10876457,4.530063278,5.09323219
percapita_log_not_island,141.0,3.732921595496454,0.6559631165681434,2.0750316,3.236836365,3.707176922,4.207795292,5.255822581
share_square_island,67.0,70.01492537313433,30.79919938811546,3.0,67.0,86.0,91.0,103.0
share_square_not_island,141.0,80.72340425531915,21.72691102329049,2.0,80.0,87.0,91.0,103.0
LangCount_island,67.0,1.7313432835820894,0.7897465944220183,1.0,1.0,2.0,2.0,4.0
LangCount_not_island,141.0,1.5957446808510638,2.1111226647864583,1.0,1.0,1.0,2.0,23.0
EthnicCount_island,67.0,2.1940298507462686,1.3398191416862073,1.0,1.0,2.0,3.0,6.0
EthnicCount_not_island,141.0,2.9290780141843973,2.3471727371789295,1.0,1.0,3.0,4.0,23.0
ReliCount_island,67.0,2.7611940298507465,1.5962982959524787,1.0,1.0,2.0,4.0,7.0
ReliCount_not_island,141.0,2.397163120567376,1.2528791563213422,1.0,1.0,2.0,3.0,6.0
