,country,code,adj,iOS,OSX,Android,Windows,island,store,percapita_log,share_square,LangCount,EthnicCount,ReliCount,country_island,country_not_island,code_island,code_not_island,iOS_island,iOS_not_island,OSX_island,OSX_not_island,Android_island,Android_not_island,Windows_island,Windows_not_island,island_island,island_not_island,store_island,store_not_island,percapita_log_island,percapita_log_not_island,share_square_island,share_square_not_island,LangCount_island,LangCount_not_island,EthnicCount_island,EthnicCount_not_island,ReliCount_island,ReliCount_not_island
0,Afghanistan,AFG,PAK IRN TUR CHN UZB TJK,8.955833333,5.321666667,90.645,90.25,0,0,2.707104739,86,2,4,2,,Afghanistan,,AFG,,8.955833333,,5.321666667,,90.645,,90.25,,0,,0,,2.707104739,,86,,2,,4,,2
1,Albania,ALB,MNE SRB MKD GRC,35.71416667,7.129166667,63.78333333,88.16833333,0,0,3.714490218,96,1,2,3,,Albania,,ALB,,35.71416667,,7.129166667,,63.78333333,,88.16833333,,0,,0,,3.714490218,,96,,1,,2,,3
2,Algeria,DZA,TUN LBY NER MLI MRT MAR,3.855833333,4.585,95.80416667,84.55833333,0,0,3.527496242,96,1,3,1,,Algeria,,DZA,,3.855833333,,4.585,,95.80416667,,84.55833333,,0,,0,,3.527496242,,96,,1,,3,,1
3,American Samoa,ASM,,33.58666667,26.96166667,66.28333333,55.06,1,0,4.10876457,103,2,1,5,American Samoa,,ASM,,33.58666667,,26.96166667,,66.28333333,,55.06,,1,,0,,4.10876457,,103,,2,,1,,5,
4,Andorra,AND,ESP FRA,33.18333333,36.85416667,66.55916667,61.19083333,0,0,4.56906248,103,1,4,2,,Andorra,,AND,,33.18333333,,36.85416667,,66.55916667,,61.19083333,,0,,0,,4.56906248,,103,,1,,4,,2
5,Angola,AGO,COD COG ZMB NAM,13.92583333,12.84666667,83.98333333,79.51,0,0,3.278014833,90,1,5,3,,Angola,,AGO,,13.92583333,,12.84666667,,83.98333333,,79.51,,0,,0,,3.278014833,,90,,1,,5,,3
6,Antigua and Barbuda,ATG,,21.41916667,20.7325,78,69.5475,1,0,4.145951806,71,1,1,7,Antigua and Barbuda,,ATG,,21.41916667,,20.7325,,78,,69.5475,,1,,0,,4.145951806,,71,,1,,1,,7,
7,Argentina,ARG,CHL BOL PRY BRA URY,7.719166667,8.918333333,91.90083333,87.47416667,0,0,3.928228329,88,1,2,3,,Argentina,,ARG,,7.719166667,,8.918333333,,91.90083333,,87.47416667,,0,,0,,3.928228329,,88,,1,,2,,3
8,Armenia,ARM,GEO AZE IRN TUR,26.0625,5.375,73.51083333,93.19916667,1,0,3.6301232,83,1,1,1,Armenia,,ARM,,26.0625,,5.375,,73.51083333,,93.19916667,,1,,0,,3.6301232,,83,,1,,1,,1,
9,Aruba,ABW,,25.89,20.34583333,73.82833333,74.43666667,1,0,4.368967806,80,2,4,1,Aruba,,ABW,,25.89,,20.34583333,,73.82833333,,74.43666667,,1,,0,,4.368967806,,80,,2,,4,,1,
