,sortname,Android,iOS,country,year,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,share_square
11,Afghanistan2020,90.645,8.955833333333333,Afghanistan,2020,AFG,20116137325.8206,38928341.0,652230.0,41.8226014534499,10.2538604736328,55.5283288943229,9.0,516.7478708075589,2.7141183215714206,7.590265907042466,0.00721615927877015,0.0899172530350315,0,Afghanistan,0,2,4,2,0.0,Afghanistan,5.321666666666666,86
25,Albania2020,63.78333333333333,35.714166666666664,Albania,2020,ALB,15131866270.5936,2837849.0,27400.0,17.2358578454283,12.0699996948242,68.0595608376824,9.0,5332.160474568449,3.726984651781699,6.45298943626102,0.004173086404174722,0.3589453671365277,1,Albania,0,1,2,3,0.0,Albania,7.129166666666666,96
39,Algeria2020,95.80416666666667,3.855833333333333,Algeria,2020,DZA,145009181490.62,43851043.0,2381741.0,30.7835156672667,16.5491905212402,62.4735570719822,10.0,3306.858208381041,3.5195468852101714,7.641979937452157,0.022970118592214067,0.038689878921667,2,Algeria,0,1,3,1,0.0,Algeria,4.585,96
53,American Samoa2020,66.28333333333333,33.586666666666666,American Samoa,2020,ASM,709000000.0,55197.0,200.0,,,,,12844.900990995888,4.108764570392557,4.7419233421368165,0.0015707722130990254,0.33630386168685955,3,American Samoa,1,2,1,5,0.0,American-Samoa,26.96166666666667,103
67,Andorra2020,66.55916666666667,33.18333333333333,Andorra,2020,AND,2891001149.3611,77265.0,470.0,,,,10.0,37416.697720327444,4.57307706220949,4.887988429743501,0.002633793962489376,0.3326900101093649,4,Andorra,0,1,4,2,0.0,Andorra,36.854166666666664,103
81,Angola2020,83.98333333333333,13.925833333333337,Angola,2020,AGO,53619071176.139,32866268.0,1246700.0,46.3953623946154,6.46722650527954,51.4131751845783,6.0,1631.431690879506,3.2128350172703715,7.5167504054908045,0.016169114581372955,0.14223217097479812,5,Angola,0,1,5,3,0.0,Angola,12.846666666666666,90
95,Antigua and Barbuda2020,78.0,21.419166666666666,Antigua and Barbuda,2020,ATG,1370281481.48148,97928.0,440.0,21.8505243594849,8.94178009033203,68.8172043010753,11.0,13992.744480449717,4.14593393962444,4.990911319739421,0.0019469565561592527,0.21544303160859324,6,Antigua and Barbuda,1,1,1,7,0.0,Antigua-and-Barbuda,20.7325,71
109,Argentina2020,91.90083333333332,7.719166666666666,Argentina,2020,ARG,389591035520.675,45376763.0,2736690.0,24.4353111421435,,64.1981770242501,14.0,8585.694742497939,3.933826023978826,7.656833521362628,0.025433014618846776,0.07748611389948472,7,Argentina,0,1,2,3,0.0,Argentina,8.918333333333335,88
123,Armenia2020,73.51083333333334,26.0625,Armenia,2020,ARM,12641209802.112,2963234.0,28470.0,20.832344833009,8.82777976989746,67.3647756866379,12.0,4266.018074209462,3.6301244824451593,6.471766094664738,0.004152674001116432,0.2617417648634172,8,Armenia,1,1,1,1,0.0,Armenia,5.375,83
137,Aruba2020,73.82833333333333,25.89,Aruba,2020,ABW,2496648044.69274,106766.0,180.0,17.3819380701722,,68.012288556282,13.0,23384.298790745554,4.368942923200822,5.028437039841143,0.000731573568426079,0.2596312948137253,9,Aruba,1,2,4,1,0.0,Aruba,20.345833333333335,80
151,Australia2020,46.28,53.365833333333335,Australia,2020,AUS,1327836171068.51,25693267.0,7692020.0,19.2924250165216,,64.4945169162338,10.0,51680.31652294393,4.713333568287479,7.409819346932841,0.11373578401224042,0.5355550909471043,10,Australia,1,1,1,2,29.6,Australia,31.765833333333333,7
165,Austria2020,67.65166666666667,31.73583333333333,Austria,2020,AUT,433258467676.515,8916864.0,82520.0,14.4121767658946,,66.3838195913616,13.0,48588.659384792125,4.686543854654204,6.950212191538255,0.004000640544069969,0.31931413239424805,11,Austria,0,1,1,2,0.0,Austria,20.55,88
179,Azerbaijan2020,85.47166666666668,13.740833333333333,Azerbaijan,2020,AZE,42693000000.0,10093121.0,82646.0,23.5152912312311,10.5025300979614,69.7430866430283,10.0,4229.910649045028,3.6264338537320406,7.004025522793177,0.0035416743798581053,0.1384990130611902,12,Azerbaijan,0,1,1,1,0.0,Azerbaijan,9.010833333333332,88
193,Bahamas2020,68.86666666666666,31.0125,Bahamas,2020,BHS,,,,,,,,,,,,0.3105001877268366,13,Bahamas,1,1,1,5,0.0,The-Bahamas,23.92833333333333,91
