,cs,island,LangCount,EthnicCount,ReliCount,NonReli,,BritanicaLink,Lang
アフガニスタン,Afghanistan,0,2,4,2,,Afghanistan,https://www.britannica.com/place/Afghanistan,ダリー語、パシュトゥ語
アルバニア,Albania,0,1,2,3,,Albania,https://www.britannica.com/place/Albania,アルバニア語
アルジェリア,Algeria,0,1,3,1,,Algeria,https://www.britannica.com/place/Algeria,アラビア語
米領サモア,American Samoa,1,2,1,5,,American-Samoa,https://www.britannica.com/place/American-Samoa,英語（米国式）、サモア語
アンドラ,Andorra,0,1,4,2,,Andorra,https://www.britannica.com/place/Andorra,カタルーニャ語
アンゴラ,Angola,0,1,5,3,,Angola,https://www.britannica.com/place/Angola,ポルトガル語
アンティグア・バーブーダ,Antigua and Barbuda,1,1,1,7,,Antigua-and-Barbuda,https://www.britannica.com/place/Antigua-and-Barbuda,英語（米国式）
アルゼンチン,Argentina,0,1,2,3,,Argentina,https://www.britannica.com/place/Argentina,スペイン語
アルメニア,Armenia,1,1,1,1,,Armenia,https://www.britannica.com/place/Armenia,アルメニア語
アルバ,Aruba,1,2,4,1,,Aruba,https://www.britannica.com/place/Aruba,オランダ語、パピアメント語
オーストラリア,Australia,1,1,1,2,29.6,Australia,https://www.britannica.com/place/Australia,英語（英国式）
オーストリア,Austria,0,1,1,2,,Austria,https://www.britannica.com/place/Austria,ドイツ語
アゼルバイジャン,Azerbaijan,0,1,1,1,,Azerbaijan,https://www.britannica.com/place/Azerbaijan,アゼルバイジャン語
バハマ,Bahamas,1,1,1,5,,The-Bahamas,https://www.britannica.com/place/The-Bahamas,英語（米国式）
バーレーン,Bahrain,1,1,3,2,,Bahrain,https://www.britannica.com/place/Bahrain,アラビア語
バングラデシュ,Bangladesh,0,1,1,2,,Bangladesh,https://www.britannica.com/place/Bangladesh,ベンガル語
バルバドス,Barbados,1,1,1,3,,Barbados,https://www.britannica.com/place/Barbados,英語（米国式）
ベラルーシ,Belarus,0,2,1,2,41.1,Belarus,https://www.britannica.com/place/Belarus,ベラルーシ語、ロシア語
ベルギー,Belgium,0,3,1,1,31,Belgium,https://www.britannica.com/place/Belgium,オランダ語、フランス語、ドイツ語
ベリーズ,Belize,0,2,4,5,15.6,Belize,https://www.britannica.com/place/Belize,英語（米国式）、スペイン語
ベナン,Benin,0,1,5,6,5.8,Benin,https://www.britannica.com/place/Benin,フランス語
バミューダ諸島,Bermuda,1,2,3,6,17.8,Bermuda,https://www.britannica.com/place/Bermuda,英語（米国式）、ポルトガル語
ブータン,Bhutan,0,1,3,2,,Bhutan,https://www.britannica.com/place/Bhutan,ゾンカ語
ボリビア,"Bolivia, Plurinational State of",0,1,3,4,5.5,Bolivia,https://www.britannica.com/place/Bolivia,スペイン語
ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,0,3,3,3,,Bosnia-and-Herzegovina,https://www.britannica.com/place/Bosnia-and-Herzegovina,クロアチア語、セルビア語、ボスニア語
ボツワナ,Botswana,0,2,2,1,11.1,Botswana,https://www.britannica.com/place/Botswana,英語（英国式）、ツワナ語
ブラジル,Brazil,0,1,3,2,,Brazil,https://www.britannica.com/place/Brazil,ポルトガル語
ブルネイ,Brunei Darussalam,1,2,2,3,,Brunei,https://www.britannica.com/place/Brunei,マレー語、英語（英国式）
ブルガリア,Bulgaria,0,1,3,2,,Bulgaria,https://www.britannica.com/place/Bulgaria,ブルガリア語
ブルキナファソ,Burkina Faso,0,1,3,4,,Burkina-Faso,https://www.britannica.com/place/Burkina-Faso,フランス語
ブルンジ,Burundi,0,3,2,3,,Burundi,https://www.britannica.com/place/Burundi,スワヒリ語、フランス語、ルンディ語
カンボジア,Cambodia,0,1,1,1,,Cambodia,https://www.britannica.com/place/Cambodia,クメール語（カンボジア語）
カメルーン,Cameroon,0,2,5,4,8.8,Cameroon,https://www.britannica.com/place/Cameroon,英語（英国式）、フランス語
カナダ,Canada,0,2,4,3,6.5,Canada,https://www.britannica.com/place/Canada,英語（米国式）、フランス語
カーボベルデ,Cape Verde,1,2,1,1,10.8,Cabo-Verde,https://www.britannica.com/place/Cabo-Verde,カーボベルデ語、ポルトガル語
ケイマン諸島,Cayman Islands,1,1,2,1,,,,英語（米国式）
中央アフリカ,Central African Republic,0,2,5,4,,Central-African-Republic,https://www.britannica.com/place/Central-African-Republic,フランス語、サンゴ語
チャド,Chad,0,2,4,3,,Chad,https://www.britannica.com/place/Chad,アラビア語、フランス語
チリ,Chile,0,1,2,3,,Chile,https://www.britannica.com/place/Chile,スペイン語
中国,China,0,1,2,3,52.2,China,https://www.britannica.com/place/China,中国語（大陸式簡体字）
コロンビア,Colombia,0,1,3,3,8,Colombia,https://www.britannica.com/place/Colombia,スペイン語
コモロ,Comoros,1,3,1,1,,Comoros,https://www.britannica.com/place/Comoros,アラビア語、コモロ語、フランス語
コンゴ民主共和国,"Congo, the Democratic Republic of the",0,1,6,5,,Democratic-Republic-of-the-Congo,https://www.britannica.com/place/Democratic-Republic-of-the-Congo,フランス語
コンゴ共和国,Congo,0,1,5,3,11.3,Republic-of-the-Congo,https://www.britannica.com/place/Republic-of-the-Congo,フランス語
コスタリカ,Costa Rica,0,1,2,3,10,Costa-Rica,https://www.britannica.com/place/Costa-Rica,スペイン語
コートジボワール,Côte d'Ivoire,0,1,5,3,19.2,Cote-dIvoire,https://www.britannica.com/place/Cote-dIvoire,フランス語
クロアチア,Croatia,0,2,1,1,,Croatia,https://www.britannica.com/place/Croatia,クロアチア語、イタリア語
キューバ,Cuba,1,1,3,2,23,Cuba,https://www.britannica.com/place/Cuba,スペイン語
キプロス,Cyprus,1,2,2,1,,Cyprus,https://www.britannica.com/place/Cyprus,現代ギリシャ語、トルコ語
チェコ,Czech Republic,0,1,2,1,89.2,Czech-Republic,https://www.britannica.com/place/Czech-Republic,チェコ語
デンマーク,Denmark,0,1,1,1,,Denmark,https://www.britannica.com/place/Denmark,デンマーク語
ジブチ,Djibouti,0,2,3,1,,Djibouti,https://www.britannica.com/place/Djibouti,アラビア語、フランス語
ドミニカ,Dominica,1,1,2,2,6,Dominica,https://www.britannica.com/place/Dominica,英語（米国式）
ドミニカ共和国,Dominican Republic,1,1,3,1,,Dominican-Republic,https://www.britannica.com/place/Dominican-Republic,スペイン語
エクアドル,Ecuador,0,1,4,3,6.5,Ecuador,https://www.britannica.com/place/Ecuador,スペイン語
エジプト,Egypt,0,1,1,2,,Egypt,https://www.britannica.com/place/Egypt,アラビア語
エルサルバドル,El Salvador,0,1,2,2,12,El-Salvador,https://www.britannica.com/place/El-Salvador,スペイン語
赤道ギニア,Equatorial Guinea,0,3,3,1,,Equatorial-Guinea,https://www.britannica.com/place/Equatorial-Guinea,スペイン語、フランス語、ポルトガル語
エリトリア,Eritrea,0,2,2,3,,Eritrea,https://www.britannica.com/place/Eritrea,アラビア語、ティグリニャ語
エストニア,Estonia,0,1,2,4,,Estonia,https://www.britannica.com/place/Estonia,エストニア語
エチオピア,Ethiopia,0,1,4,3,,Ethiopia,https://www.britannica.com/place/Ethiopia,アムハラ語
フェロー諸島,Faroe Islands,1,2,2,1,4,Faroe-Islands-Athlantic-Ocean,https://www.britannica.com/place/Faroe-Islands-Atlantic-Ocean,フェロー語、デンマーク語
フィジー,Fiji,1,3,2,5,16.4,Fiji-republic-Pacific-Ocean,https://www.britannica.com/place/Fiji-republic-Pacific-Ocean,英語（英国式）、フィジー語、ヒンドゥスターニー語
フィンランド,Finland,0,2,3,2,,Finland,https://www.britannica.com/place/Finland,フィンランド語、スウェーデン語
フランス,France,0,1,1,2,25.5,France,https://www.britannica.com/place/France,フランス語
フランス領ポリネシア,French Polynesia,1,2,5,5,,French-Polynesia,https://www.britannica.com/place/French-Polynesia,フランス語、タヒチ語
ガボン,Gabon,0,1,4,4,5.6,Gabon,https://www.britannica.com/place/Gabon,フランス語
ガンビア,Gambia,0,1,5,1,,The-Gambia,https://www.britannica.com/place/The-Gambia,英語（英国式）
ジョージア（グルジア）,Georgia,0,1,2,2,,Georgia,https://www.britannica.com/place/Georgia,グルジア語
ドイツ,Germany,0,1,1,2,37.7,Germany,https://www.britannica.com/place/Germany,ドイツ語
ガーナ,Ghana,0,1,5,5,5.2,Ghana,https://www.britannica.com/place/Ghana,英語（英国式）
ジブラルタル,Gibraltar,0,1,2,2,7.2,Gibraltar,https://www.britannica.com/place/Gibraltar,英語（英国式）
ギリシャ,Greece,0,1,1,1,,Greece,https://www.britannica.com/place/Greece,ギリシャ語
グリーンランド,Greenland,1,1,2,2,,,https://www.britannica.com/place/Greenland,グリーンランド語
グレナダ,Grenada,1,1,2,2,5.7,Grenada,https://www.britannica.com/place/Grenada,英語（米国式）
グアム,Guam,1,2,4,2,16,,https://www.britannica.com/place/Guam,英語（米国式）、チャモロ語
グアテマラ,Guatemala,0,1,6,2,,Guatemala,https://www.britannica.com/place/Guatemala,スペイン語
ギニアビサウ,Guinea-Bissau,0,1,5,3,,Guinea-Bissau,https://www.britannica.com/place/Guinea-Bissau,ポルトガル語
ギニア,Guinea,0,1,4,2,,Guinea,https://www.britannica.com/place/Guinea,フランス語
フランス領ギアナ,Guyana,0,1,4,6,,Guyana,https://www.britannica.com/place/Guyana,フランス語
ハイチ,Haiti,1,2,2,3,10.2,Haiti,https://www.britannica.com/place/Haiti,フランス語、クレオール語
ホンジュラス,Honduras,0,1,2,2,,Honduras,https://www.britannica.com/place/Honduras,スペイン語
香港,Hong Kong,0,2,1,3,54,,https://www.britannica.com/place/Hong-Kong,英語（英国式）、中国語（香港台湾式繁体字）
ハンガリー,Hungary,0,1,1,2,,Hungary,https://www.britannica.com/place/Hungary,ハンガリー語
アイスランド,Iceland,1,1,1,1,6.1,Iceland,https://www.britannica.com/place/Iceland,アイスランド語
インド,India,0,23,23,2,,India,https://www.britannica.com/place/India,ヒンディー語、英語（英国式）、アッサム語、ベンガル語、ボド語、ドーグリー語、グジャラート語、カンナダ語、カシミール語、コーンカニー語、マイティリー語、マラヤーラム語、マニプル語、マラーティー語、ネパール語、オリヤー語、パンジャーブ語、サンスクリット語、サンタル語、シンド語、タミル語、テルグ語、ウルドゥー語
インドネシア,Indonesia,1,1,2,1,,Indonesia,https://www.britannica.com/place/Indonesia,インドネシア語
イラン,Iran Islamic Republic of,0,3,1,1,,Iran,https://www.britannica.com/place/Iran,ペルシャ語、トルコ語、クルド語
イラク,Iraq,0,2,3,1,,Iraq,https://www.britannica.com/place/Iraq,アラビア語、クルド語
アイルランド,Ireland,1,2,2,2,,Ireland,https://www.britannica.com/place/Ireland,アイルランド語、英語
マン島,Isle of Man,1,2,1,3,41,,https://www.britannica.com/place/Isle-of-Man,
イスラエル,Israel,0,2,2,2,,Israel,https://www.britannica.com/place/Israel,ヘブライ語、アラビア語
イタリア,Italy,0,1,1,2,14,Italy,https://www.britannica.com/place/Italy,イタリア語
ジャマイカ,Jamaica,1,1,2,5,21.3,Jamaica,https://www.britannica.com/place/Jamaica,英語（米国式）
日本,Japan,1,1,1,2,63,Japan,https://www.britannica.com/place/Japan,日本語
ヨルダン,Jordan,0,1,4,1,,Jordan,https://www.britannica.com/place/Jordan,アラビア語
カザフスタン,Kazakhstan,0,2,2,2,,Kazakhstan,https://www.britannica.com/place/Kazakhstan,カザフ語、ロシア語
ケニア,Kenya,0,2,8,4,,Kenya,https://www.britannica.com/place/Kenya,スワヒリ語、英語（英国式）
キリバス,Kiribati,1,2,2,3,,Kiribati,https://www.britannica.com/place/Kiribati,キリバス語、英語（米国式）
北朝鮮,Korea Democratic People's Republic of,0,1,1,3,,North-Korea,https://www.britannica.com/place/North-Korea,朝鮮語
韓国,Korea Republic of,0,1,1,3,56,,,韓国語
クウェート,Kuwait,0,1,3,2,6,Kuwait,https://www.britannica.com/place/Kuwait,アラビア語
ラオス,Lao People's Democratic Republic,0,1,3,3,,Laos,https://www.britannica.com/place/Laos,ラオス語
ラトビア,Latvia,0,1,2,4,26,Latvia,https://www.britannica.com/place/Latvia,ラトビア語
レバノン,Lebanon,0,1,4,6,,Lebanon,https://www.britannica.com/place/Lebanon,アラビア語
レソト,Lesotho,0,2,1,4,,Lesotho,https://www.britannica.com/place/Lesotho,英語（英国式）、ソト語
リベリア,Liberia,0,1,7,2,,Liberia,https://www.britannica.com/place/Liberia,英語（英国式）
リビア,Libya,0,1,4,1,,Libya,https://www.britannica.com/place/Libya,アラビア語
リヒテンシュタイン,Liechtenstein,0,1,3,2,,Liechtenstein,https://www.britannica.com/place/Liechtenstein,ドイツ語
リトアニア,Lithuania,0,1,1,1,16.2,Lithuania,https://www.britannica.com/place/Lithuania,リトアニア語
ルクセンブルク,Luxembourg,0,3,3,1,26.8,Luxembourg,https://www.britannica.com/place/Luxembourg,フランス語、ドイツ語、ルクセンブルク語
マカオ,Macao,1,2,1,3,15.4,,,ポルトガル語、中国語（香港台湾式繁体字）
北マケドニア,Macedonia North,0,5,1,2,,North-Macedonia,https://www.britannica.com/place/North-Macedonia,アルバニア語、セルビア語、トルコ語、マケドニア語、ロマ語
マダガスカル,Madagascar,1,2,6,3,,Madagascar,https://www.britannica.com/place/Madagascar,マダガスカル語、フランス語
マラウイ,Malawi,0,1,5,5,,Malawi,https://www.britannica.com/place/Malawi,英語（英国式）
マレーシア,Malaysia,1,4,3,4,,Malaysia,https://www.britannica.com/place/Malaysia,マレー語、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語、英語（英国式）
モルディブ,Maldives,1,1,1,1,,Maldives,https://www.britannica.com/place/Maldives,ディベヒ語
マリ,Mali,0,1,6,1,,Mali,https://www.britannica.com/place/Mali,フランス語
マルタ,Malta,1,2,1,2,,Malta,https://www.britannica.com/place/Malta,マルタ語、英語（英国式）
マーシャル諸島,Marshall Islands,1,2,1,4,54.5,Marshall-Islands,https://www.britannica.com/place/Marshall-Islands,マーシャル語、英語（米国式）
モーリタニア,Mauritania,0,1,3,1,,Mauritania,https://www.britannica.com/place/Mauritania,アラビア語
モーリシャス,Mauritius,1,3,1,4,,Mauritius,https://www.britannica.com/place/Mauritius,英語（英国式）、フランス語、クレオール語
メキシコ,Mexico,0,1,2,2,,Mexico,https://www.britannica.com/place/Mexico,スペイン語
ミクロネシア連邦,Micronesia Federated States of,1,1,5,2,,Micronesia-republic-Pacific-Ocean,https://www.britannica.com/place/Micronesia-republic-Pacific-Ocean,英語（米国式）
モルドバ,Moldova Republic of,0,4,3,2,,Moldova,https://www.britannica.com/place/Moldova,ウクライナ語、ガガウズ語、モルドバ語、ロシア語
モナコ,Monaco,0,1,4,2,11.7,Monaco,https://www.britannica.com/place/Monaco,フランス語
モンゴル,Mongolia,0,1,1,1,38.9,Mongolia,https://www.britannica.com/place/Mongolia,モンゴル語
モンテネグロ,Montenegro,0,2,3,2,5.4,Montenegro,https://www.britannica.com/place/Montenegro,モンテネグロ語、セルビア語
モロッコ,Morocco,0,3,4,1,,Morocco,https://www.britannica.com/place/Morocco,アラビア語、ベルベル語、フランス語
モザンビーク,Mozambique,0,1,1,4,13.9,Mozambique,https://www.britannica.com/place/Mozambique,ポルトガル語
ミャンマー,Myanmar,0,1,3,2,,Myanmar,https://www.britannica.com/place/Myanmar,ビルマ語（ミャンマー語）
ナミビア,Namibia,0,1,3,5,,Namibia,https://www.britannica.com/place/Namibia,英語（英国式）
ナウル,Nauru,1,2,1,3,6.6,Nauru,https://www.britannica.com/place/Nauru,英語（英国式）、ナウル語
ネパール,Nepal,0,1,6,2,,Nepal,https://www.britannica.com/place/Nepal,ネパール語
オランダ,Netherlands,0,1,1,4,51,Netherlands,https://www.britannica.com/place/Netherlands,オランダ語
ニューカレドニア,New Caledonia,1,2,4,3,5.8,,,フランス語
ニュージーランド,New Zealand,1,3,5,4,31.1,New-Zealand,https://www.britannica.com/place/New-Zealand,英語（英国式）、マオリ語、ニュージーランド手話
ニカラグア,Nicaragua,0,2,4,3,,Nicaragua,https://www.britannica.com/place/Nicaragua,スペイン語、英語（米国式）
ニジェール,Niger,0,1,5,3,,Niger,https://www.britannica.com/place/Niger,フランス語
ナイジェリア,Nigeria,0,1,4,4,,Nigeria,https://www.britannica.com/place/Nigeria,英語（英国式）
