,0,1,2
0,アイスランド,1,アイスランド語
1,アイルランド,2,アイルランド語、英語
2,アゼルバイジャン,1,アゼルバイジャン語
3,アフガニスタン,2,ダリー語、パシュトゥ語
4,アメリカ,1,英語（米国式）
5,アラブ首長国連邦,1,アラビア語
6,アルジェリア,1,アラビア語
7,アルゼンチン,1,スペイン語
8,アルバ,2,オランダ語、パピアメント語
9,アルバニア,1,アルバニア語
10,アルメニア,1,アルメニア語
11,アンギラ,1,英語（米国式）
12,アンゴラ,1,ポルトガル語
13,アンティグア・バーブーダ,1,英語（米国式）
14,アンドラ,1,カタルーニャ語
15,イエメン,1,アラビア語
16,イギリス,1,英語（英国式）
17,イスラエル,2,ヘブライ語、アラビア語
18,イタリア,1,イタリア語
19,イラク,2,アラビア語、クルド語
20,イラン,3,ペルシャ語、トルコ語、クルド語
21,インド,23,ヒンディー語、英語（英国式）、アッサム語、ベンガル語、ボド語、ドーグリー語、グジャラート語、カンナダ語、カシミール語、コーンカニー語、マイティリー語、マラヤーラム語、マニプル語、マラーティー語、ネパール語、オリヤー語、パンジャーブ語、サンスクリット語、サンタル語、シンド語、タミル語、テルグ語、ウルドゥー語
22,インドネシア,1,インドネシア語
23,ウガンダ,2,英語（英国式）、スワヒリ語
24,ウクライナ,1,ウクライナ語
25,ウズベキスタン,1,ウズベク語
26,ウルグアイ,1,スペイン語
27,エクアドル,1,スペイン語
28,エジプト,1,アラビア語
29,エストニア,1,エストニア語
30,エスワティニ,2,英語（英国式）、スワジ語
31,エチオピア,1,アムハラ語
32,エリトリア,2,アラビア語、ティグリニャ語
33,エルサルバドル,1,スペイン語
34,オーストラリア,1,英語（英国式）
35,オーストリア,1,ドイツ語
36,オマーン,1,アラビア語
37,オランダ,1,オランダ語
38,ガーナ,1,英語（英国式）
39,カーボベルデ,2,カーボベルデ語、ポルトガル語
40,ガイアナ,1,英語（英国式）
41,カザフスタン,2,カザフ語、ロシア語
42,カタール,1,アラビア語
43,カナダ,2,英語（米国式）、フランス語
44,ガボン,1,フランス語
45,カメルーン,2,英語（英国式）、フランス語
46,ガンビア,1,英語（英国式）
47,カンボジア,1,クメール語（カンボジア語）
48,ギニア,1,フランス語
49,ギニアビサウ,1,ポルトガル語
50,キプロス,2,現代ギリシャ語、トルコ語
51,キューバ,1,スペイン語
52,ギリシャ,1,ギリシャ語
53,キリバス,2,キリバス語、英語（米国式）
54,キルギス,2,キルギス語、ロシア語
55,グアテマラ,1,スペイン語
56,グアム,2,英語（米国式）、チャモロ語
57,クウェート,1,アラビア語
58,クック諸島,2,クック諸島マオリ語、英語（米国式）
59,グリーンランド,1,グリーンランド語
60,グレナダ,1,英語（米国式）
61,クロアチア,2,クロアチア語、イタリア語
62,ケイマン諸島,1,英語（米国式）
63,ケニア,2,スワヒリ語、英語（英国式）
64,コートジボワール,1,フランス語
65,コスタリカ,1,スペイン語
66,コモロ,3,アラビア語、コモロ語、フランス語
67,コロンビア,1,スペイン語
68,コンゴ共和国,1,フランス語
69,コンゴ民主共和国,1,フランス語
70,サウジアラビア,1,アラビア語
71,サモア,2,サモア語、英語（米国式）
72,サントメ・プリンシペ,1,ポルトガル語
73,ザンビア,1,英語（英国式）
74,サンピエール島・ミクロン島,1,フランス語
75,サンマリノ,1,イタリア語
76,シエラレオネ,1,英語（英国式）
77,ジブチ,2,アラビア語、フランス語
78,ジブラルタル,1,英語（英国式）
79,ジャマイカ,1,英語（米国式）
80,ジョージア（グルジア）,1,グルジア語
81,シリア,1,アラビア語
