,Country,Date,Android,iOS
0,worldwide,2009-01,0.66,35.56
1,worldwide,2009-02,2.06,36.43
2,worldwide,2009-03,2.18,39.6
3,worldwide,2009-04,2.02,41.91
4,worldwide,2009-05,1.86,37.32
5,worldwide,2009-06,0.13,35.81
6,worldwide,2009-07,2.21,34.2
7,worldwide,2009-08,2.28,33.91
8,worldwide,2009-09,2.32,31.13
9,worldwide,2009-10,2.56,30.5
10,worldwide,2009-11,3.31,31.56
11,worldwide,2009-12,4.07,32.05
12,worldwide,2010-01,4.54,33.13
13,worldwide,2010-02,5.35,33.92
14,worldwide,2010-03,5.9,30.13
15,worldwide,2010-04,5.58,29.38
16,worldwide,2010-05,3.94,29.01
17,worldwide,2010-06,3.95,26.66
18,worldwide,2010-07,7.91,26.05
19,worldwide,2010-08,9.22,25.71
20,worldwide,2010-09,9.79,22.85
21,worldwide,2010-10,10.67,22.45
22,worldwide,2010-11,11.61,21.94
23,worldwide,2010-12,13.6,23.57
24,worldwide,2011-01,14.61,25.02
25,worldwide,2011-02,15.16,24.56
26,worldwide,2011-03,15.8,24.38
27,worldwide,2011-04,16.05,23.34
28,worldwide,2011-05,17.63,22.09
29,worldwide,2011-06,17.92,20.04
30,worldwide,2011-07,18.93,20.03
31,worldwide,2011-08,20.6,19.41
32,worldwide,2011-09,20.9,21.21
33,worldwide,2011-10,22.11,23.48
34,worldwide,2011-11,21.9,24.21
35,worldwide,2011-12,21.83,22.71
36,worldwide,2012-01,23.21,24.04
37,worldwide,2012-02,24.76,25.49
38,worldwide,2012-03,23.61,23.99
39,worldwide,2012-04,23.79,23.85
40,worldwide,2012-05,23.81,22.95
41,worldwide,2012-06,25.07,24.56
42,worldwide,2012-07,26.53,25.41
43,worldwide,2012-08,28.21,24.48
44,worldwide,2012-09,29.25,23.63
45,worldwide,2012-10,30.19,23.72
46,worldwide,2012-11,31.67,23.73
47,worldwide,2012-12,33.19,23.26
48,worldwide,2013-01,36.87,25.85
49,worldwide,2013-02,36.9,27.21
50,worldwide,2013-03,37.23,27.14
51,worldwide,2013-04,38.34,26.46
52,worldwide,2013-05,38.27,25.86
53,worldwide,2013-06,37.93,25.09
54,worldwide,2013-07,38.34,24.79
55,worldwide,2013-08,39.52,23.44
56,worldwide,2013-09,39.82,22.73
57,worldwide,2013-10,39.39,20.54
58,worldwide,2013-11,41.31,21.94
59,worldwide,2013-12,42.99,21.82
60,worldwide,2014-01,44.62,23.55
61,worldwide,2014-02,47.45,22.97
62,worldwide,2014-03,48.26,23.6
63,worldwide,2014-04,49.95,23.25
64,worldwide,2014-05,52.23,23.24
65,worldwide,2014-06,52.98,24.29
66,worldwide,2014-07,53.51,24.9
67,worldwide,2014-08,54.87,23.57
68,worldwide,2014-09,55.7,24.73
69,worldwide,2014-10,57.43,25.96
70,worldwide,2014-11,59.9,23.02
71,worldwide,2014-12,59.15,23.51
72,worldwide,2015-01,59.78,22.75
73,worldwide,2015-02,60.79,23.17
74,worldwide,2015-03,61.94,22.64
75,worldwide,2015-04,63.43,20.78
76,worldwide,2015-05,64.0,20.22
77,worldwide,2015-06,63.75,20.22
78,worldwide,2015-07,64.08,20.41
79,worldwide,2015-08,65.56,19.03
80,worldwide,2015-09,66.77,18.14
81,worldwide,2015-10,67.15,17.7
82,worldwide,2015-11,65.73,19.3
83,worldwide,2015-12,65.9,19.21
84,worldwide,2016-01,66.28,19.58
85,worldwide,2016-02,66.38,19.47
86,worldwide,2016-03,68.04,18.82
87,worldwide,2016-04,68.28,18.8
88,worldwide,2016-05,68.84,18.63
89,worldwide,2016-06,68.39,20.33
90,worldwide,2016-07,68.79,19.89
91,worldwide,2016-08,68.54,20.07
92,worldwide,2016-09,69.68,19.38
93,worldwide,2016-10,70.84,19.12
94,worldwide,2016-11,72.01,18.85
95,worldwide,2016-12,71.97,18.89
96,worldwide,2017-01,71.58,19.73
97,worldwide,2017-02,71.98,19.45
98,worldwide,2017-03,71.61,19.5
99,worldwide,2017-04,71.84,19.87
100,worldwide,2017-05,72.68,19.32
101,worldwide,2017-06,72.89,19.35
102,worldwide,2017-07,73.39,18.78
103,worldwide,2017-08,72.74,20.32
104,worldwide,2017-09,73.52,19.37
105,worldwide,2017-10,73.05,19.99
106,worldwide,2017-11,73.11,20.34
107,worldwide,2017-12,73.54,19.91
108,worldwide,2018-01,74.39,19.64
109,worldwide,2018-02,74.78,20.15
110,worldwide,2018-03,74.24,20.83
111,worldwide,2018-04,75.66,19.23
112,worldwide,2018-05,76.53,18.97
113,worldwide,2018-06,76.99,18.91
114,worldwide,2018-07,77.32,19.4
115,worldwide,2018-08,76.82,20.45
116,worldwide,2018-09,76.61,20.66
117,worldwide,2018-10,74.69,22.34
118,worldwide,2018-11,72.35,24.44
119,worldwide,2018-12,75.16,21.98
120,worldwide,2019-01,74.45,22.85
121,worldwide,2019-02,74.15,23.28
122,worldwide,2019-03,75.33,22.4
123,worldwide,2019-04,75.22,22.76
124,worldwide,2019-05,75.34,22.66
125,worldwide,2019-06,76.03,22.04
126,worldwide,2019-07,76.08,22.01
127,worldwide,2019-08,76.23,22.17
128,worldwide,2019-09,76.24,22.48
129,worldwide,2019-10,76.67,22.09
130,worldwide,2019-11,75.82,22.9
131,worldwide,2019-12,74.13,24.79
132,worldwide,2020-01,74.3,24.76
133,worldwide,2020-02,73.3,25.89
134,worldwide,2020-03,72.26,27.03
135,worldwide,2020-04,70.68,28.79
136,worldwide,2020-05,72.6,26.72
137,worldwide,2020-06,74.14,25.26
138,worldwide,2020-07,74.6,24.82
139,worldwide,2020-08,74.25,25.15
140,worldwide,2020-09,74.44,24.98
141,worldwide,2020-10,72.92,26.53
142,worldwide,2020-11,71.18,28.19
143,worldwide,2020-12,72.48,26.91
144,worldwide,2021-01,71.93,27.47
145,worldwide,2021-02,71.9,27.33
146,worldwide,2021-03,71.83,27.41
147,worldwide,2021-04,72.19,27.0
148,worldwide,2021-05,72.72,26.46
149,worldwide,2021-06,72.83,26.35
150,worldwide,2021-07,72.21,26.92
151,worldwide,2021-08,72.74,26.42
152,worldwide,2021-09,72.44,26.75
153,worldwide,2021-10,71.09,28.21
154,worldwide,2021-11,70.74,28.54
155,worldwide,2021-12,70.01,29.24
156,worldwide,2022-01,69.74,29.49
157,worldwide,2022-02,70.94,28.29
158,worldwide,2022-03,71.7,27.57
159,worldwide,2022-04,71.59,27.68
160,worldwide,2022-05,71.45,27.83
161,worldwide,2022-06,72.12,27.22
162,worldwide,2022-07,71.85,27.5
163,worldwide,2022-08,71.52,27.83
164,worldwide,2022-09,71.55,27.8
165,worldwide,2022-10,70.98,28.41
0,Africa,2009-01,0.0,2.78
1,Africa,2009-02,0.0,3.18
2,Africa,2009-03,0.0,4.23
3,Africa,2009-04,0.01,4.99
4,Africa,2009-05,0.01,4.0
5,Africa,2009-06,0.02,3.2
6,Africa,2009-07,0.05,3.17
7,Africa,2009-08,0.05,3.71
8,Africa,2009-09,0.06,2.81
9,Africa,2009-10,0.04,2.64
10,Africa,2009-11,0.08,3.26
11,Africa,2009-12,0.12,3.9
12,Africa,2010-01,0.17,3.49
13,Africa,2010-02,0.17,3.16
14,Africa,2010-03,0.18,2.16
15,Africa,2010-04,0.15,1.94
16,Africa,2010-05,0.13,2.44
17,Africa,2010-06,0.22,3.4
18,Africa,2010-07,0.58,3.84
19,Africa,2010-08,0.82,4.31
20,Africa,2010-09,0.85,3.37
21,Africa,2010-10,0.9,3.01
22,Africa,2010-11,1.03,3.12
23,Africa,2010-12,1.26,3.18
24,Africa,2011-01,1.48,3.52
25,Africa,2011-02,1.76,3.47
26,Africa,2011-03,2.11,3.59
27,Africa,2011-04,2.19,3.43
28,Africa,2011-05,2.69,3.73
29,Africa,2011-06,2.99,3.71
30,Africa,2011-07,3.32,3.67
31,Africa,2011-08,3.65,3.55
32,Africa,2011-09,3.72,3.63
33,Africa,2011-10,3.74,3.68
34,Africa,2011-11,4.11,3.6
35,Africa,2011-12,3.85,3.1
36,Africa,2012-01,3.79,2.72
37,Africa,2012-02,5.27,3.91
38,Africa,2012-03,5.72,3.84
39,Africa,2012-04,6.04,3.84
40,Africa,2012-05,6.84,4.18
41,Africa,2012-06,8.12,4.75
42,Africa,2012-07,9.71,5.23
43,Africa,2012-08,11.33,5.55
44,Africa,2012-09,12.5,5.56
45,Africa,2012-10,14.26,5.95
46,Africa,2012-11,15.06,5.96
47,Africa,2012-12,15.91,6.06
48,Africa,2013-01,17.67,6.37
49,Africa,2013-02,17.95,6.18
50,Africa,2013-03,19.72,6.49
51,Africa,2013-04,20.94,6.39
52,Africa,2013-05,21.14,6.27
53,Africa,2013-06,21.53,5.84
54,Africa,2013-07,21.24,5.6
55,Africa,2013-08,22.16,5.42
56,Africa,2013-09,20.69,4.5
57,Africa,2013-10,16.95,2.38
58,Africa,2013-11,19.99,3.3
59,Africa,2013-12,23.99,3.73
60,Africa,2014-01,28.07,4.33
61,Africa,2014-02,30.84,4.47
62,Africa,2014-03,33.37,4.69
63,Africa,2014-04,35.25,4.75
64,Africa,2014-05,37.53,5.09
65,Africa,2014-06,40.91,5.39
66,Africa,2014-07,43.47,6.63
67,Africa,2014-08,42.72,5.26
68,Africa,2014-09,44.97,4.95
69,Africa,2014-10,47.82,5.76
70,Africa,2014-11,48.51,5.47
71,Africa,2014-12,50.4,5.64
72,Africa,2015-01,52.76,5.44
73,Africa,2015-02,54.87,5.54
74,Africa,2015-03,56.38,5.64
75,Africa,2015-04,57.27,5.34
76,Africa,2015-05,58.03,5.2
77,Africa,2015-06,57.66,4.74
78,Africa,2015-07,57.78,4.74
79,Africa,2015-08,64.25,3.18
80,Africa,2015-09,69.09,2.82
81,Africa,2015-10,67.89,2.76
82,Africa,2015-11,66.72,3.31
83,Africa,2015-12,68.42,3.31
84,Africa,2016-01,69.12,3.29
85,Africa,2016-02,69.13,3.42
86,Africa,2016-03,70.64,3.17
87,Africa,2016-04,70.13,3.13
88,Africa,2016-05,72.26,3.08
89,Africa,2016-06,74.1,3.46
90,Africa,2016-07,74.61,3.2
91,Africa,2016-08,74.87,3.37
92,Africa,2016-09,74.24,3.34
93,Africa,2016-10,74.88,3.67
94,Africa,2016-11,76.51,3.68
95,Africa,2016-12,77.25,3.49
96,Africa,2017-01,73.4,4.77
97,Africa,2017-02,74.91,4.34
98,Africa,2017-03,70.69,5.37
99,Africa,2017-04,70.84,5.39
100,Africa,2017-05,72.77,5.61
101,Africa,2017-06,74.23,6.59
102,Africa,2017-07,72.85,5.87
103,Africa,2017-08,73.54,5.67
104,Africa,2017-09,73.43,4.87
105,Africa,2017-10,72.96,5.05
106,Africa,2017-11,72.07,5.4
107,Africa,2017-12,73.24,5.49
108,Africa,2018-01,74.77,6.06
109,Africa,2018-02,75.5,6.61
110,Africa,2018-03,76.63,6.19
111,Africa,2018-04,76.81,6.2
112,Africa,2018-05,78.44,6.68
113,Africa,2018-06,80.74,6.77
114,Africa,2018-07,80.73,7.35
115,Africa,2018-08,80.41,7.34
116,Africa,2018-09,82.22,7.73
117,Africa,2018-10,82.47,8.48
118,Africa,2018-11,80.64,9.83
119,Africa,2018-12,82.09,9.21
120,Africa,2019-01,83.09,9.35
121,Africa,2019-02,82.42,9.77
122,Africa,2019-03,84.34,8.57
123,Africa,2019-04,83.28,9.92
124,Africa,2019-05,82.77,10.71
125,Africa,2019-06,80.95,13.23
126,Africa,2019-07,79.05,15.85
127,Africa,2019-08,79.74,15.52
128,Africa,2019-09,81.75,13.4
129,Africa,2019-10,85.88,8.84
130,Africa,2019-11,82.83,12.52
131,Africa,2019-12,83.78,11.28
132,Africa,2020-01,84.29,11.33
133,Africa,2020-02,85.25,12.11
134,Africa,2020-03,85.63,13.58
135,Africa,2020-04,85.44,13.19
136,Africa,2020-05,85.66,12.5
137,Africa,2020-06,85.79,12.3
138,Africa,2020-07,86.39,11.08
139,Africa,2020-08,86.89,10.57
140,Africa,2020-09,87.21,10.17
141,Africa,2020-10,86.74,10.66
142,Africa,2020-11,86.74,10.58
143,Africa,2020-12,85.45,12.11
144,Africa,2021-01,83.69,14.33
145,Africa,2021-02,81.11,16.79
146,Africa,2021-03,79.71,18.35
147,Africa,2021-04,79.29,18.62
148,Africa,2021-05,81.61,16.23
149,Africa,2021-06,83.5,14.47
150,Africa,2021-07,81.49,15.95
151,Africa,2021-08,82.04,15.68
152,Africa,2021-09,82.92,14.9
153,Africa,2021-10,83.27,14.57
154,Africa,2021-11,83.54,14.53
155,Africa,2021-12,82.66,15.48
156,Africa,2022-01,82.79,15.53
157,Africa,2022-02,84.37,14.21
158,Africa,2022-03,84.01,14.29
159,Africa,2022-04,83.0,14.37
160,Africa,2022-05,83.9,14.03
161,Africa,2022-06,86.05,12.19
162,Africa,2022-07,83.92,13.87
163,Africa,2022-08,84.4,13.42
164,Africa,2022-09,83.85,13.21
165,Africa,2022-10,84.06,13.31
0,Asia,2009-01,0.0,7.25
1,Asia,2009-02,0.03,7.64
2,Asia,2009-03,0.05,9.02
3,Asia,2009-04,0.04,10.25
4,Asia,2009-05,0.02,8.31
5,Asia,2009-06,0.02,7.21
6,Asia,2009-07,0.07,6.52
7,Asia,2009-08,0.08,6.6
8,Asia,2009-09,0.11,6.41
9,Asia,2009-10,0.16,6.25
10,Asia,2009-11,0.19,6.61
11,Asia,2009-12,0.24,7.33
12,Asia,2010-01,0.27,7.01
13,Asia,2010-02,0.34,7.69
